exec
6 92 2 89 4
5 59 9 97 9
1 92 7 91 5
3 92 7 91 5
6 92 7 91 5
6 92 7 91 5
2 20 7 6 0
6 92 7 91 5
5 92 7 91 5
6 92 7 91 5
exec
2 13 7 91 0
3 13 7 91 0
1 9 7 91 0
1 9 1 91 0
1 92 7 91 5
1 92 7 14 0
6 92 7 91 5
1 0 7 91 0
1 92 7 91 5
1 92 12 91 5
exec
6 92 7 91 5
6 0 12 91 0
6 92 14 91 5
6 92 7 91 5
1 92 7 91 5
6 92 12 91 5
1 92 14 91 5
6 92 5 91 5
1 92 7 91 5
1 92 12 91 5
exec
1 92 7 91 5
6 18 1 91 1
1 92 7 91 5
1 92 7 91 5
1 92 14 20 0
1 92 7 20 0
1 16 14 91 0
1 92 7 91 5
1 92 18 91 5
1 92 14 20 0
exec
1 92 7 91 5
5 92 14 91 5
1 92 7 91 5
1 92 7 16 0
6 92 7 91 5
6 16 14 91 0
6 92 7 91 5
1 92 14 20 0
1 92 18 15 0
6 92 14 18 0
exec
1 92 18 91 5
1 4 18 15 0
1 92 18 91 5
6 92 14 18 0
1 92 7 91 5
6 92 18 15 0
1 4 18 6 0
6 1 18 91 0
6 92 7 91 5
6 4 18 91 0
exec
1 4 18 6 0
6 92 18 15 0
1 4 18 6 0
6 17 7 91 0
1 92 7 15 0
6 17 7 91 0
6 92 7 15 0
6 4 5 10 0
1 4 18 6 0
6 17 7 13 0
exec
6 4 7 15 0
6 4 1 6 0
6 17 5 10 0
6 92 7 15 0
6 92 7 15 0
6 92 7 6 0
6 17 5 10 0
6 17 5 10 0
6 17 0 10 0
6 17 5 10 0
exec
6 19 0 10 0
6 92 0 10 0
6 17 5 10 0
6 92 0 10 0
6 92 5 10 0
6 19 0 10 0
6 92 5 10 0
6 92 5 10 0
6 17 5 10 0
6 17 5 10 0
exec
6 19 0 10 0
6 17 5 6 0
6 92 5 10 0
6 20 0 10 0
6 92 1 10 0
6 17 1 12 0
6 92 5 10 0
6 92 11 10 0
6 92 5 10 0
6 92 1 14 0
